# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1780224845760000000,1780224862890000000,10
cacheStateStorage.set.counter,1780224845760000000,1780224862890000000,8
cacheStateStorage.get.duration,1780224845760000000,1780224862890000000,16
cacheStateStorage.set.duration,1780224845760000000,1780224862890000000,8
DiskQueryRelay.tasksRequested,1780224845760000000,1780224862890000000,116
DiskQueryRelay.taskExecutionTotalTimeUs,1780224845760000000,1780224862890000000,5281
lexer.VTL.time.ns,1780224845760000000,1780224862890000000,515167
parser.VTL.size.bytes,1780224845760000000,1780224862890000000,134
parser.VTL.time.ns,1780224845760000000,1780224862890000000,2396250
lexer.VTL.size.bytes,1780224845760000000,1780224862890000000,134
writeAction.wait.ms,1780224845760000000,1780224862890000000,35
DiskQueryRelay.tasksExecuted,1780224845760000000,1780224862890000000,116
lexer.HTML.time.ns,1780224845760000000,1780224862890000000,98167
lexer.HTML.size.bytes,1780224845760000000,1780224862890000000,1
parser.HTML.time.ns,1780224845760000000,1780224862890000000,1294125
parser.HTML.size.bytes,1780224845760000000,1780224862890000000,1
writeAction.count,1780224845760000000,1780224862890000000,14
writeAction.max.wait.ms,1780224845760000000,1780224862890000000,31
DiskQueryRelay.taskWaitingTotalTimeUs,1780224845760000000,1780224862890000000,19768
writeAction.median.wait.ms,1780224845760000000,1780224862890000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1780224845760000000,1780224862890000000,0
Indexes.allKeys.lookupDurationAvgMs,1780224845760000000,1780224862890000000,0.0
Indexes.entries.lookupDuration90PMs,1780224845760000000,1780224862890000000,0.0
Indexes.allKeys.lookupDuration90PMs,1780224845760000000,1780224862890000000,0.0
Indexes.entries.lookups,1780224845760000000,1780224862890000000,1
Indexes.stubs.lookupDurationAvgMs,1780224845760000000,1780224862890000000,0.0
Indexes.stubs.lookupDurationMaxMs,1780224845760000000,1780224862890000000,0.0
Indexes.entries.lookupDurationAvgMs,1780224845760000000,1780224862890000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1780224845760000000,1780224862890000000,0
Indexes.allKeys.lookups,1780224845760000000,1780224862890000000,0
Indexing.writesQueuedMax,1780224845760000000,1780224862890000000,0
Indexing.cache.totalCacheMisses,1780224845760000000,1780224862890000000,0
Indexes.allKeys.lookupDurationMaxMs,1780224845760000000,1780224862890000000,0.0
Indexes.stubs.lookups,1780224845760000000,1780224862890000000,0
Indexing.writesQueuedMin,1780224845760000000,1780224862890000000,9223372036854775807
Indexing.cache.totalCacheEvicted,1780224845760000000,1780224862890000000,0
Indexing.cache.totalCacheAccesses,1780224845760000000,1780224862890000000,0
Indexes.stubs.lookupDuration90PMs,1780224845760000000,1780224862890000000,0.0
Indexing.totalTimeIndexersSleptMs,1780224845760000000,1780224862890000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1780224845760000000,1780224862890000000,0
Indexes.entries.lookupDurationMaxMs,1780224845760000000,1780224862890000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1780224845760000000,1780224862890000000,0
NonBlockingReadAction.failedExecutionTimeUs,1780224845760000000,1780224862890000000,0
NonBlockingReadAction.finalizedExecutionsCount,1780224845760000000,1780224862890000000,13
NonBlockingReadAction.failedExecutionsCount,1780224845760000000,1780224862890000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1780224845760000000,1780224862890000000,154999
AWTEventQueue.dispatchTimeTotalNS,1780224845760000000,1780224862890000000,1962549334
FilePageCache.totalPageDisposalsUs,1780224845760000000,1780224862890000000,2240
FilePageCache.totalPageLoadsUs,1780224845760000000,1780224862890000000,130371
FilePageCache.maxRegisteredFiles,1780224845760000000,1780224862890000000,1078
StorageLockContext.competingThreads.avg,1780224845760000000,1780224862890000000,0.0
FilePageCache.pageLoads,1780224845760000000,1780224862890000000,388
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1780224845760000000,1780224862890000000,41943040
DirectByteBufferAllocator.misses,1780224845760000000,1780224862890000000,385
FilePageCache.maxCacheSizeInBytes,1780224845760000000,1780224862890000000,403701760
FileChannelInterruptsRetryer.totalRetriedAttempts,1780224845760000000,1780224862890000000,0
FilePageCache.uncachedFileAccess,1780224845760000000,1780224862890000000,232
FilePageCache.pageFastCacheHits,1780224845760000000,1780224862890000000,7720
FilePageCache.pageLoadsAboveSizeThreshold,1780224845760000000,1780224862890000000,0
DirectByteBufferAllocator.reclaimed,1780224845760000000,1780224862890000000,43
DirectByteBufferAllocator.disposed,1780224845760000000,1780224862890000000,345
StorageLockContext.competingThreads.90P,1780224845760000000,1780224862890000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1780224845760000000,1780224862890000000,41943040
DirectByteBufferAllocator.hits,1780224845760000000,1780224862890000000,3
FilePageCache.capacityInBytes,1780224845760000000,1780224862890000000,629145600
FilePageCache.disposedBuffers,1780224845760000000,1780224862890000000,388
FilePageCache.pageHits,1780224845760000000,1780224862890000000,0
StorageLockContext.competingThreads.max,1780224845760000000,1780224862890000000,0
workspaceModel.on.changed.ms,1780224845760000000,1780224862890000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1780224845760000000,1780224862890000000,0
workspaceModel.cachedValueWithParameters.clear.count,1780224845760000000,1780224862890000000,0
workspaceModel.cachedValue.clear.count,1780224845760000000,1780224862890000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1780224845760000000,1780224862890000000,5
workspaceModel.cachedValue.from.cache.count,1780224845760000000,1780224862890000000,16
